cve_id,cvss_score,severity,attack_vector,attack_complexity,privileges_required,user_interaction,cwe,description,service,version
CVE-2010-1623,5.0,MEDIUM,NETWORK,LOW,NONE,UNKNOWN,CWE-119,"Memory leak in the apr_brigade_split_line function in buckets/apr_brigade.c in the Apache Portable Runtime Utility library (aka APR-util) before 1.3.10, as used in the mod_reqtimeout module in the Apache HTTP Server and other software, allows remote attackers to cause a denial of service (memory consumption) via unspecified vectors related to the destruction of an APR bucket.",http,2.2.8
CVE-2011-3368,5.0,MEDIUM,NETWORK,LOW,NONE,UNKNOWN,CWE-20,"The mod_proxy module in the Apache HTTP Server 1.3.x through 1.3.42, 2.0.x through 2.0.64, and 2.2.x through 2.2.21 does not properly interact with use of (1) RewriteRule and (2) ProxyPassMatch pattern matches for configuration of a reverse proxy, which allows remote attackers to send requests to intranet servers via a malformed URI containing an initial @ (at sign) character.",http,2.2.8
CVE-2009-1195,4.9,MEDIUM,LOCAL,LOW,NONE,UNKNOWN,CWE-16,"The Apache HTTP Server 2.2.11 and earlier 2.2 versions does not properly handle Options=IncludesNOEXEC in the AllowOverride directive, which allows local users to gain privileges by configuring (1) Options Includes, (2) Options +Includes, or (3) Options +IncludesNOEXEC in a .htaccess file, and then inserting an exec element in a .shtml file.",http,2.2.8
CVE-2007-6420,4.3,MEDIUM,NETWORK,MEDIUM,NONE,UNKNOWN,CWE-352,Cross-site request forgery (CSRF) vulnerability in the balancer-manager in mod_proxy_balancer for Apache HTTP Server 2.2.x allows remote attackers to gain privileges via unspecified vectors.,http,2.2.8
CVE-2008-0455,4.3,MEDIUM,NETWORK,MEDIUM,NONE,UNKNOWN,CWE-79,"Cross-site scripting (XSS) vulnerability in the mod_negotiation module in the Apache HTTP Server 2.2.6 and earlier in the 2.2.x series, 2.0.61 and earlier in the 2.0.x series, and 1.3.39 and earlier in the 1.3.x series allows remote authenticated users to inject arbitrary web script or HTML by uploading a file with a name containing XSS sequences and a file extension, which leads to injection within a (1) ""406 Not Acceptable"" or (2) ""300 Multiple Choices"" HTTP response when the extension is omitted in a request for the file.",http,2.2.8
CVE-2008-2939,4.3,MEDIUM,NETWORK,MEDIUM,NONE,UNKNOWN,CWE-79,"Cross-site scripting (XSS) vulnerability in proxy_ftp.c in the mod_proxy_ftp module in Apache 2.0.63 and earlier, and mod_proxy_ftp.c in the mod_proxy_ftp module in Apache 2.2.9 and earlier 2.2 versions, allows remote attackers to inject arbitrary web script or HTML via a wildcard in the last directory component in the pathname in an FTP URI.",http,2.2.8
CVE-2009-0023,4.3,MEDIUM,NETWORK,MEDIUM,NONE,UNKNOWN,CWE-119,"The apr_strmatch_precompile function in strmatch/apr_strmatch.c in Apache APR-util before 1.3.5 allows remote attackers to cause a denial of service (daemon crash) via crafted input involving (1) a .htaccess file used with the Apache HTTP Server, (2) the SVNMasterURI directive in the mod_dav_svn module in the Apache HTTP Server, (3) the mod_apreq2 module for the Apache HTTP Server, or (4) an application that uses the libapreq2 library, which triggers a heap-based buffer underflow.",http,2.2.8
CVE-2010-0434,4.3,MEDIUM,NETWORK,MEDIUM,NONE,UNKNOWN,CWE-200,"The ap_read_request function in server/protocol.c in the Apache HTTP Server 2.2.x before 2.2.15, when a multithreaded MPM is used, does not properly handle headers in subrequests in certain circumstances involving a parent request that has a body, which might allow remote attackers to obtain sensitive information via a crafted request that triggers access to memory locations associated with an earlier request.",http,2.2.8
CVE-2011-0419,4.3,MEDIUM,NETWORK,MEDIUM,NONE,UNKNOWN,CWE-770,"Stack consumption vulnerability in the fnmatch implementation in apr_fnmatch.c in the Apache Portable Runtime (APR) library before 1.4.3 and the Apache HTTP Server before 2.2.18, and in fnmatch.c in libc in NetBSD 5.1, OpenBSD 4.8, FreeBSD, Apple Mac OS X 10.6, Oracle Solaris 10, and Android, allows context-dependent attackers to cause a denial of service (CPU and memory consumption) via *? sequences in the first argument, as demonstrated by attacks against mod_autoindex in httpd.",http,2.2.8
CVE-2008-0456,2.6,LOW,NETWORK,HIGH,NONE,UNKNOWN,CWE-74,"CRLF injection vulnerability in the mod_negotiation module in the Apache HTTP Server 2.2.6 and earlier in the 2.2.x series, 2.0.61 and earlier in the 2.0.x series, and 1.3.39 and earlier in the 1.3.x series allows remote authenticated users to inject arbitrary HTTP headers and conduct HTTP response splitting attacks by uploading a file with a multi-line name containing HTTP header sequences and a file extension, which leads to injection within a (1) ""406 Not Acceptable"" or (2) ""300 Multiple Choices"" HTTP response when the extension is omitted in a request for the file.",http,2.2.8
CVE-2009-3094,2.6,LOW,NETWORK,HIGH,NONE,UNKNOWN,CWE-476,The ap_proxy_ftp_handler function in modules/proxy/proxy_ftp.c in the mod_proxy_ftp module in the Apache HTTP Server 2.0.63 and 2.2.13 allows remote FTP servers to cause a denial of service (NULL pointer dereference and child process crash) via a malformed reply to an EPSV command.,http,2.2.8
CVE-2007-4723,7.5,HIGH,NETWORK,LOW,NONE,UNKNOWN,CWE-22,"Directory traversal vulnerability in Ragnarok Online Control Panel 4.3.4a, when the Apache HTTP Server is used, allows remote attackers to bypass authentication via directory traversal sequences in a URI that ends with the name of a publicly available page, as demonstrated by a ""/...../"" sequence and an account_manage.php/login.php final component for reaching the protected account_manage.php page.",http,2.2.8
CVE-2011-2688,7.5,HIGH,NETWORK,LOW,NONE,UNKNOWN,CWE-89,SQL injection vulnerability in mysql/mysql-auth.pl in the mod_authnz_external module 3.2.5 and earlier for the Apache HTTP Server allows remote attackers to execute arbitrary SQL commands via the user field.,http,2.2.8
CVE-2009-2299,5.0,MEDIUM,NETWORK,LOW,NONE,UNKNOWN,UNKNOWN,"The Artofdefence Hyperguard Web Application Firewall (WAF) module before 2.5.5-11635, 3.0 before 3.0.3-11636, and 3.1 before 3.1.1-11637, a module for the Apache HTTP Server, allows remote attackers to cause a denial of service (memory consumption) via an HTTP request with a large Content-Length value but no POST data.",http,2.2.8
CVE-2011-1176,4.3,MEDIUM,NETWORK,MEDIUM,NONE,UNKNOWN,UNKNOWN,"The configuration merger in itk.c in the Steinar H. Gunderson mpm-itk Multi-Processing Module 2.2.11-01 and 2.2.11-02 for the Apache HTTP Server does not properly handle certain configuration sections that specify NiceValue but not AssignUserID, which might allow remote attackers to gain privileges by leveraging the root uid and root gid of an mpm-itk process.",http,2.2.8
CVE-2009-0796,2.6,LOW,NETWORK,HIGH,NONE,UNKNOWN,CWE-79,"Cross-site scripting (XSS) vulnerability in Status.pm in Apache::Status and Apache2::Status in mod_perl1 and mod_perl2 for the Apache HTTP Server, when /perl-status is accessible, allows remote attackers to inject arbitrary web script or HTML via the URI.",http,2.2.8
CVE-2009-4484,7.5,HIGH,NETWORK,LOW,NONE,UNKNOWN,CWE-787,"Multiple stack-based buffer overflows in the CertDecoder::GetName function in src/asn.cpp in TaoCrypt in yaSSL before 1.9.9, as used in mysqld in MySQL 5.0.x before 5.0.90, MySQL 5.1.x before 5.1.43, MySQL 5.5.x through 5.5.0-m2, and other products, allow remote attackers to execute arbitrary code or cause a denial of service (memory corruption and daemon crash) by establishing an SSL connection and sending an X.509 client certificate with a crafted name field, as demonstrated by mysql_overflow1.py and the vd_mysql5 module in VulnDisco Pack Professional 8.11. NOTE: this was originally reported for MySQL 5.0.51a.",mysql,5.0.51a-3ubuntu5
CVE-2013-2395,6.8,MEDIUM,NETWORK,LOW,SINGLE,UNKNOWN,UNKNOWN,"Unspecified vulnerability in Oracle MySQL 5.6.10 and earlier allows remote authenticated users to affect availability via unknown vectors related to Data Manipulation Language, a different vulnerability than CVE-2013-1567.",mysql,5.0.51a-3ubuntu5
CVE-2013-5860,6.8,MEDIUM,NETWORK,LOW,SINGLE,UNKNOWN,UNKNOWN,Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.6.14 and earlier allows remote authenticated users to affect availability via vectors related to GIS.,mysql,5.0.51a-3ubuntu5
CVE-2013-5882,6.8,MEDIUM,NETWORK,LOW,UNKNOWN,UNKNOWN,UNKNOWN,Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.6.13 and earlier allows remote authenticated users to affect availability via unknown vectors related to Stored Procedures.,mysql,5.0.51a-3ubuntu5
CVE-2012-4414,6.5,MEDIUM,NETWORK,LOW,UNKNOWN,UNKNOWN,CWE-89,"Multiple SQL injection vulnerabilities in the replication code in Oracle MySQL possibly before 5.5.29, and MariaDB 5.1.x through 5.1.62, 5.2.x through 5.2.12, 5.3.x through 5.3.7, and 5.5.x through 5.5.25, allow remote authenticated users to execute arbitrary SQL commands via vectors related to the binary log.  NOTE: as of 20130116, Oracle has not commented on claims from a downstream vendor that the fix in MySQL 5.5.29 is incomplete.",mysql,5.0.51a-3ubuntu5
CVE-2012-3147,6.4,MEDIUM,NETWORK,LOW,UNKNOWN,UNKNOWN,UNKNOWN,"Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.5.26 and earlier allows remote attackers to affect integrity and availability, related to MySQL Client.",mysql,5.0.51a-3ubuntu5
CVE-2013-3798,5.8,MEDIUM,NETWORK,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.6.11 and earlier allows remote attackers to affect integrity and availability via unknown vectors related to MemCached.,mysql,5.0.51a-3ubuntu5
CVE-2013-1570,5.0,MEDIUM,NETWORK,LOW,UNKNOWN,UNKNOWN,UNKNOWN,Unspecified vulnerability in Oracle MySQL 5.6.10 and earlier allows remote attackers to affect availability via unknown vectors related to MemCached.,mysql,5.0.51a-3ubuntu5
CVE-2012-0583,4.0,MEDIUM,NETWORK,LOW,UNKNOWN,UNKNOWN,UNKNOWN,"Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.1.60 and earlier, and 5.5.19 and earlier, allows remote authenticated users to affect availability, related to MyISAM.",mysql,5.0.51a-3ubuntu5
CVE-2012-1696,4.0,MEDIUM,NETWORK,LOW,UNKNOWN,UNKNOWN,UNKNOWN,Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.5.19 and earlier allows remote authenticated users to affect availability via unknown vectors related to Server Optimizer.,mysql,5.0.51a-3ubuntu5
CVE-2012-3144,4.0,MEDIUM,NETWORK,LOW,UNKNOWN,UNKNOWN,UNKNOWN,Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.5.26 and earlier allows remote authenticated users to affect availability via unknown vectors related to Server.,mysql,5.0.51a-3ubuntu5
CVE-2013-3795,4.0,MEDIUM,NETWORK,LOW,UNKNOWN,UNKNOWN,UNKNOWN,Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.6.11 and earlier allows remote authenticated users to affect availability via unknown vectors related to Data Manipulation Language.,mysql,5.0.51a-3ubuntu5
CVE-2013-3796,4.0,MEDIUM,NETWORK,LOW,UNKNOWN,UNKNOWN,UNKNOWN,Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.6.11 and earlier allows remote authenticated users to affect availability via unknown vectors related to Server Optimizer.,mysql,5.0.51a-3ubuntu5
CVE-2013-3806,4.0,MEDIUM,NETWORK,LOW,UNKNOWN,UNKNOWN,UNKNOWN,"Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.6.11 and earlier allows remote authenticated users to affect availability via unknown vectors related to InnoDB, a different vulnerability than CVE-2013-3811.",mysql,5.0.51a-3ubuntu5
CVE-2013-3807,4.0,MEDIUM,NETWORK,HIGH,UNKNOWN,UNKNOWN,UNKNOWN,Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.6.11 and earlier allows remote attackers to affect confidentiality and integrity via unknown vectors related to Server Privileges.,mysql,5.0.51a-3ubuntu5
CVE-2013-5767,4.0,MEDIUM,NETWORK,LOW,UNKNOWN,UNKNOWN,UNKNOWN,Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.6.12 and earlier allows remote authenticated users to affect availability via unknown vectors related to Optimizer.,mysql,5.0.51a-3ubuntu5
CVE-2013-5786,4.0,MEDIUM,NETWORK,LOW,UNKNOWN,UNKNOWN,UNKNOWN,"Unspecified vulnerability in Oracle MySQL Server 5.6.12 and earlier allows remote authenticated users to affect availability via unknown vectors related to InnoDB, a different vulnerability than CVE-2013-5793.",mysql,5.0.51a-3ubuntu5
CVE-2013-5881,4.0,MEDIUM,NETWORK,LOW,UNKNOWN,UNKNOWN,UNKNOWN,"Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.6.14 and earlier allows remote authenticated users to affect availability via unknown vectors related to InnoDB, a different vulnerability than CVE-2014-0431.",mysql,5.0.51a-3ubuntu5
CVE-2013-5894,4.0,MEDIUM,NETWORK,LOW,UNKNOWN,UNKNOWN,UNKNOWN,Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.6.13 and earlier allows remote authenticated users to affect availability via unknown vectors related to InnoDB.,mysql,5.0.51a-3ubuntu5
CVE-2010-2008,3.5,LOW,NETWORK,UNKNOWN,UNKNOWN,UNKNOWN,CWE-77,"MySQL before 5.1.48 allows remote authenticated users with alter database privileges to cause a denial of service (server crash and database loss) via an ALTER DATABASE command with a #mysql50# string followed by a . (dot), .. (dot dot), ../ (dot dot slash) or similar sequence, and an UPGRADE DATA DIRECTORY NAME command, which causes MySQL to move certain directories to the server data directory.",mysql,5.0.51a-3ubuntu5
CVE-2012-3149,3.5,LOW,NETWORK,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.5.26 and earlier allows remote authenticated users to affect confidentiality, related to MySQL Client.",mysql,5.0.51a-3ubuntu5
CVE-2012-3156,3.5,LOW,NETWORK,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.5.25 and earlier allows remote authenticated users to affect availability via unknown vectors related to Server.,mysql,5.0.51a-3ubuntu5
CVE-2013-1566,3.5,LOW,NETWORK,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Unspecified vulnerability in Oracle MySQL 5.6.10 and earlier allows remote authenticated users to affect availability via unknown vectors related to InnoDB.,mysql,5.0.51a-3ubuntu5
CVE-2013-1567,3.5,LOW,NETWORK,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Unspecified vulnerability in Oracle MySQL 5.6.10 and earlier allows remote authenticated users to affect availability via unknown vectors related to Data Manipulation Language, a different vulnerability than CVE-2013-2395.",mysql,5.0.51a-3ubuntu5
CVE-2013-2381,3.5,LOW,NETWORK,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Unspecified vulnerability in Oracle MySQL 5.6.10 and earlier allows remote authenticated users to affect integrity via unknown vectors related to Server Privileges.,mysql,5.0.51a-3ubuntu5
CVE-2013-3810,3.5,LOW,NETWORK,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.6.11 and earlier allows remote authenticated users to affect availability via unknown vectors related to XA Transactions.,mysql,5.0.51a-3ubuntu5
CVE-2013-3811,3.5,LOW,NETWORK,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.6.11 and earlier allows remote authenticated users to affect availability via unknown vectors related to InnoDB, a different vulnerability than CVE-2013-3806.",mysql,5.0.51a-3ubuntu5
CVE-2013-5793,3.5,LOW,NETWORK,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Unspecified vulnerability in Oracle MySQL Server 5.6.12 and earlier allows remote authenticated users to affect availability via unknown vectors related to InnoDB, a different vulnerability than CVE-2013-5786.",mysql,5.0.51a-3ubuntu5
CVE-2012-4452,2.1,LOW,LOCAL,LOW,UNKNOWN,UNKNOWN,CWE-264,"MySQL 5.0.88, and possibly other versions and platforms, allows local users to bypass certain privilege checks by calling CREATE TABLE on a MyISAM table with modified (1) DATA DIRECTORY or (2) INDEX DIRECTORY arguments that are originally associated with pathnames without symlinks, and that can point to tables created at a future time at which a pathname is modified to contain a symlink to a subdirectory of the MySQL data home directory, related to incorrect calculation of the mysql_unpacked_real_data_home value.  NOTE: this vulnerability exists because of a CVE-2009-4030 regression, which was not omitted in other packages and versions such as MySQL 5.0.95 in Red Hat Enterprise Linux 6.",mysql,5.0.51a-3ubuntu5
CVE-2013-5770,2.1,LOW,NETWORK,HIGH,UNKNOWN,UNKNOWN,UNKNOWN,Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.6.11 and earlier allows remote authenticated users to affect availability via unknown vectors related to Locking.,mysql,5.0.51a-3ubuntu5
